58, 38, 0, 60, 27, 23, 7, 38, 27, 38, 36, 2, 24, 14, 50, 40, 2, 31, 1, 0, 2, 23, 49, 2, 23
59, 0, 1, 63, 2, 2, 17, 23, 35, 24, 45, 23, 31, 52, 0, 27, 33, 2, 0, 64, 23, 33, 2, 35, 0
23, 10, 2, 23, 60, 59, 2, 35, 25, 37, 50, 50, 15, 53, 53, 14, 50, 3, 59, 2, 35, 25, 64, 23, 60
59, 2, 35, 25, 37, 50, 50, 58, 38, 0, 60, 27, 23, 7, 38, 27, 38, 36, 2, 24, 14, 50, 51, 1, 52
23, 35, 0, 2, 23, 35, 53, 53, 23, 0, 2, 60, 1, 53, 32, 2, 17, 23, 0, 35, 27, 33, 2, 0, 23
27, 1, 23, 17, 38, 2, 23, 27, 33, 35, 24, 23, 27, 1, 23, 31, 35, 10, 38, 60, 33, 42, 50, 50, 15
53, 53, 14, 50, 21, 2, 60, 1, 53, 32, 2, 17, 37, 23, 0, 2, 60, 1, 53, 32, 2, 17, 37, 50, 50
58, 38, 0, 60, 27, 23, 7, 38, 27, 38, 36, 2, 24, 14, 50, 58, 38, 0, 60, 27, 64, 23, 45, 1, 52
23, 25, 24, 1, 49, 23, 7, 35, 38, 52, 60, 23, 48, 35, 0, 63, 38, 52, 60, 23, 38, 60, 23, 63, 33
38, 2, 31, 23, 2, 24, 2, 10, 45, 23, 27, 1, 23, 27, 33, 2, 23, 59, 2, 1, 59, 53, 2, 37, 50
50, 15, 53, 53, 14, 50, 18, 2, 23, 25, 24, 1, 49, 9, 27, 64, 23, 49, 2, 23, 25, 24, 1, 49, 9
27, 37, 50, 50, 58, 38, 0, 60, 27, 23, 7, 38, 27, 38, 36, 2, 24, 14, 50, 4, 2, 27, 23, 52, 60
23, 25, 38, 53, 53, 23, 33, 38, 10, 64, 23, 35, 24, 17, 23, 49, 2, 9, 53, 53, 23, 33, 35, 32, 2
23, 63, 1, 0, 24, 23, 35, 27, 23, 1, 52, 0, 23, 1, 49, 24, 23, 59, 0, 38, 63, 2, 37, 50, 39
60, 9, 27, 23, 35, 23, 32, 2, 0, 17, 38, 63, 27, 42, 50, 50, 15, 53, 53, 14, 50, 12, 1, 23, 10
1, 0, 2, 23, 27, 35, 53, 25, 38, 24, 16, 23, 1, 24, 9, 27, 54, 23, 53, 2, 27, 23, 38, 27, 23
13, 2, 23, 17, 1, 24, 2, 14, 23, 35, 49, 35, 45, 64, 23, 35, 49, 35, 45, 43, 50, 50, 3, 2, 63
1, 24, 17, 23, 7, 38, 27, 38, 36, 2, 24, 14, 50, 56, 24, 2, 23, 49, 1, 0, 17, 64, 23, 16, 1
1, 17, 23, 63, 38, 27, 38, 36, 2, 24, 60, 37, 50, 50, 58, 38, 0, 60, 27, 23, 7, 38, 27, 38, 36
2, 24, 14, 50, 18, 2, 23, 35, 0, 2, 23, 35, 63, 63, 1, 52, 24, 27, 2, 17, 23, 59, 1, 1, 0
23, 63, 38, 27, 38, 36, 2, 24, 60, 64, 23, 27, 33, 2, 23, 59, 35, 27, 0, 38, 63, 38, 35, 24, 60
